CustomerID,FirstName,LastName,Email,PhoneNumber,Address,City,State,ZipCode,Country,Age,Gender,CustomerID,Product,Price,Quantity,PurchaseDate,CustomerID,PageVisited,VisitDate,CustomerID,Campaign,InteractionDate,Outcome
9d33947f-f014-4b77-bc9a-3cf7c3cd0fe3,Arhaan,Rattan,ojas37@gmail.net,9037288816.0,"39/66
Hegde Path",Aurangabad,Maharashtra,40080,India,60.0,Male,1.0,Laptop,162.15,1.0,2023-12-26 09:09:47,1,Home,2023-06-13 11:42:07,1.0,Social Media,2024-01-18 09:21:43,Unsubscribed
103e2a65-55df-4e59-bc71-fea5eb517106,Zaina,Barad,aradhyakara@gmail.org,6463068707.0,"H.No. 10, Chandra Zila",Nashik,Maharashtra,45021,India,68.0,Male,1.0,Camera,790.79,2.0,2023-12-24 18:35:58,1,Home,2024-03-15 07:45:05,1.0,Direct Mail,2024-02-12 04:18:19,Clicked
2d20f629-cf62-44df-a5ea-a0e629993daa,Ivan,Cheema,neelofar33@gmail.com,1175294493.0,"38
Chopra Marg",Mumbai,Maharashtra,45589,India,72.0,Female,1.0,Camera,431.35,3.0,2024-01-15 09:30:59,1,Special Offers,2023-05-17 22:07:55,1.0,SMS,2024-03-14 17:41:44,Converted
409e31fb-2578-4812-b2f1-5c80c0bb2a61,Mishti,Sinha,ramachandranhrishita@gmail.org,7900053824.0,"87/04, Ram Road",Aurangabad,Maharashtra,40080,India,38.0,Female,1.0,Shoes,923.87,2.0,2023-08-14 03:53:12,1,Special Offers,2023-06-16 08:50:09,2.0,Direct Mail,2023-07-05 15:25:43,Converted
10e0248f-869d-487a-8932-30f74d67e4df,Jayant,Vaidya,contractorelakshi@gmail.com,1462423476.0,"35, Dass Chowk",Nashik,Maharashtra,45021,India,62.0,Female,1.0,Jacket,704.91,2.0,2023-08-17 17:36:43,1,Special Offers,2023-12-16 18:20:00,2.0,Social Media,2023-12-27 07:38:38,Unsubscribed
43e45a5f-8689-4bb7-b589-b585e3afcd9e,Purab,Chandran,hayersana@gmail.net,5014881350.0,"14, Thaker Road",Nashik,Maharashtra,45021,India,64.0,Female,2.0,Headphones,521.45,3.0,2024-02-08 15:40:08,1,Home,2023-11-14 20:33:15,2.0,Direct Mail,2023-10-10 11:52:26,Clicked
132f6aa8-6a3c-46dc-8810-be67c1f61781,Fateh,Dua,hanskiaan@gmail.org,2818717113.0,"525, Sethi",Mumbai,Maharashtra,45589,India,60.0,Male,2.0,Headphones,326.07,2.0,2023-07-31 04:09:57,1,Home,2024-01-28 04:11:29,3.0,Direct Mail,2023-07-21 23:23:49,Converted
2ff405a3-aef6-402b-ac30-9936c7ec9fb2,Jayan,Shukla,raokrish@gmail.net,6322139085.0,"90/02
Rao Marg",Pune,Maharashtra,411021,India,22.0,Male,3.0,Watch,57.5,2.0,2024-03-25 19:15:43,1,Special Offers,2023-12-10 02:34:15,4.0,SMS,2024-04-07 02:52:31,Clicked
478a02a2-083f-438c-a0ed-84fec561d034,Divij,Sastry,reneejayaraman@gmail.com,9434638521.0,"05/74
Baria Nagar",Mumbai,Maharashtra,40215,India,19.0,Male,4.0,Jacket,118.61,3.0,2024-02-22 16:05:18,2,Special Offers,2023-06-18 09:47:00,4.0,Email,2023-11-20 08:41:05,Unsubscribed
4a87d0d9-96f7-4829-8e9e-d9cee8a97295,Anaya,Kothari,amira77@gmail.net,6306002448.0,"H.No. 98, Bajwa Marg",Nagpur,Maharashtra,40001,India,35.0,Male,5.0,Laptop,863.08,2.0,2023-11-27 01:12:21,2,Home,2023-10-10 05:41:14,4.0,Email,2023-08-29 05:33:02,Unsubscribed
