CustomerID,FirstName,LastName,Email,PhoneNumber,Address,City,State,ZipCode,Country,Age,Gender
9d33947f-f014-4b77-bc9a-3cf7c3cd0fe3,Arhaan,Rattan,ojas37@gmail.net,9037288816,"39/66
Hegde Path",Aurangabad,Maharashtra,40080,India,60,Male
103e2a65-55df-4e59-bc71-fea5eb517106,Zaina,Barad,aradhyakara@gmail.org,6463068707,"H.No. 10, Chandra Zila",Nashik,Maharashtra,45021,India,68,Male
2d20f629-cf62-44df-a5ea-a0e629993daa,Ivan,Cheema,neelofar33@gmail.com,1175294493,"38
Chopra Marg",Mumbai,Maharashtra,45589,India,72,Female
409e31fb-2578-4812-b2f1-5c80c0bb2a61,Mishti,Sinha,ramachandranhrishita@gmail.org,7900053824,"87/04, Ram Road",Aurangabad,Maharashtra,40080,India,38,Female
10e0248f-869d-487a-8932-30f74d67e4df,Jayant,Vaidya,contractorelakshi@gmail.com,1462423476,"35, Dass Chowk",Nashik,Maharashtra,45021,India,62,Female
43e45a5f-8689-4bb7-b589-b585e3afcd9e,Purab,Chandran,hayersana@gmail.net,5014881350,"14, Thaker Road",Nashik,Maharashtra,45021,India,64,Female
132f6aa8-6a3c-46dc-8810-be67c1f61781,Fateh,Dua,hanskiaan@gmail.org,2818717113,"525, Sethi",Mumbai,Maharashtra,45589,India,60,Male
2ff405a3-aef6-402b-ac30-9936c7ec9fb2,Jayan,Shukla,raokrish@gmail.net,6322139085,"90/02
Rao Marg",Pune,Maharashtra,411021,India,22,Male
478a02a2-083f-438c-a0ed-84fec561d034,Divij,Sastry,reneejayaraman@gmail.com,9434638521,"05/74
Baria Nagar",Mumbai,Maharashtra,40215,India,19,Male
4a87d0d9-96f7-4829-8e9e-d9cee8a97295,Anaya,Kothari,amira77@gmail.net,6306002448,"H.No. 98, Bajwa Marg",Nagpur,Maharashtra,40001,India,35,Male
1d6823b3-19f5-4bc1-af3b-8fd9cdb86e70,Nayantara,Gara,sairadash@gmail.org,1751876881,"H.No. 503, Bhandari",Mumbai,Maharashtra,40215,India,57,Male
feba7c3d-8159-4f23-9aaf-d8dc4070eed4,Nayantara,Bala,sommamooty@gmail.org,2034894312,"65/629
Dewan",Mumbai,Maharashtra,45589,India,31,Male
a1ab6888-a3f9-4abe-a51b-e3d6b5ca9173,Raghav,Malhotra,emir21@gmail.org,4675333765,"H.No. 38
Bhardwaj Circle",Nagpur,Maharashtra,40001,India,49,Male
43b8b705-b0c3-4b8e-ac03-4db8c709a62f,Pihu,Mallick,mahalsamarth@gmail.org,7946163387,"37/951
Shroff Road",Pune,Maharashtra,411021,India,58,Female
846e1340-e293-40a3-80fe-bc3be2c53a32,Inaaya ,Rao,ritvikchandra@gmail.net,94209001,"42/53, Sandal Chowk",Aurangabad,Maharashtra,40080,India,44,Male
ca5d4cf7-f643-428c-abe2-3ab31961fe3e,Zain,Dora,venkateshrenee@gmail.org,2564198456,"84/916
Dani Street",Mumbai,Maharashtra,4065,India,42,Male
